input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Spectrum Credit Union,oakland,CA,411389,SPECTRUM FEDERAL CREDIT UNION,FCU,SAN FRANCISCO,CA,closed,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
Holyoke Community Federal Credit Union,holyoke,CO,715779,HOLYOKE COMMUNITY FEDERAL CREDIT UNION,FCU,HOLYOKE,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
United Minnesota Bank,New London,MN,842853,UNITED MINNESOTA BANK,NMB,NEW LONDON,MN,active,100.0,100.0,"state,city",strong,accept,composite_capped
James H Banks Insurance Agency,Houston,TX,5689464,"JAMES E. DUBOSE IRREVOCABLE TRUST FBO ANNA MORRISSEY, THE",SLHC,FORT WORTH,TX,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Iowa State Savings Bank,Creston,IA,869346,IOWA STATE SAVINGS BANK,NMB,CRESTON,IA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Kaiperm Federal Credit Union,Walnut Creek,CA,250083,KAIPERM FEDERAL CREDIT UNION,FCU,WALNUT CREEK,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Fairbanks Insurance,Sherwood,OR,1545348,UNIONMUTUAL STOCK LIFE INSURANCE COMPANY OF AMERICA,DEO,PORTLAND,OR,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Chippewa County Credit Union,,MI,1001590,CHIPPEWA COUNTY CREDIT UNION,SCU,SAULT SAINTE MARIE,MI,closed,100.0,100.0,state,strong,accept,composite_capped
Secured Advantage Federal Credit Union,Simpsonville,SC,5283,SECURED ADVANTAGE FEDERAL CREDIT UNION,FCU,SIMPSONVILLE,SC,active,100.0,100.0,"state,city",strong,accept,composite_capped
Lowcountry Credit,Ladson,SC,408893,CURIS FINANCIAL CREDIT UNION,SCU,COLUMBIA,SC,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Community Bank Of Missouri,Richmond,MO,3005097,COMMUNITY BANK OF MISSOURI,NMB,RICHMOND,MO,active,100.0,100.0,"state,city",strong,accept,composite_capped
Cmb Wing Lung Bank,Newport Beach,CA,3189063,COMMERCIAL BANK OF CALIFORNIA,NMB,IRVINE,CA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Cullman Savings Bank,Cullman,AL,934673,CULLMAN SAVINGS BANK,CSA,CULLMAN,AL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Upstate Telco Federal Credit Union,Gloversville,NY,772389,UPSTATE TELCO FEDERAL CREDIT UNION,FCU,GLOVERSVILLE,NY,active,100.0,100.0,"state,city",strong,accept,composite_capped
Nashville Firemen's Credit Union,Nashville,TN,454591,NASHVILLE FIREMENS CREDIT UNION,SCU,NASHVILLE,TN,active,100.0,98.4,"state,city",strong,accept,composite_capped
Lebanon Federal Credit Union,Lebanon,PA,825780,LEBANON FEDERAL CREDIT UNION,FCU,LEBANON,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
New Resource Bank,San Francisco,CA,5120369,NEW RESOURCE BANCORP,BHC,SAN FRANCISCO,CA,closed,100.0,86.5,"state,city",strong,review,"moderate_name_score,composite_capped"
American Commerce Bank,Bremen,GA,3272956,"AMERICAN COMMERCE BANK, NATIONAL ASSOCIATION",NAT,BREMEN,GA,active,100.0,90.0,"state,city",strong,accept,composite_capped
Creditex Group,Atlanta,GA,6025845,THOMAS FINANCIAL GROUP,DEO,ATLANTA,GA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,composite_capped"
The Local Credit Union,Sterling Hts,MI,207292,"LOCAL CREDIT UNION, THE",SCU,STERLING HEIGHTS,MI,active,100.0,92.9,"state,city",strong,accept,"city_mismatch,composite_capped"
Select Bank,Egg Harbor City,VA,3567269,SELECT BANK,SMB,FOREST,VA,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Guthrie Federal Credit Union,Sayre,PA,879783,GUTHRIE COMMUNITY FEDERAL CREDIT UNION,FCU,SAYRE,PA,active,100.0,95.0,"state,city",strong,accept,composite_capped
Riverside Federal Credit Union,Kenmore,NY,741077,RIVERSIDE EMPLOYEES FEDERAL CREDIT UNION,FCU,PAINTED POST,NY,closed,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
Csd Credit Union,Kansas City,MO,990893,CSD CREDIT UNION,SCU,KANSAS CITY,MO,active,100.0,100.0,"state,city",strong,accept,composite_capped
Mckenzie Credit,Vancouver,WA,419282,PEOPLE'S COMMUNITY FEDERAL CREDIT UNION,FCU,VANCOUVER,WA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,composite_capped"
Quoin Financial Bank,Miller,SD,592550,QUOIN FINANCIAL BANK,NMB,MILLER,SD,active,100.0,100.0,"state,city",strong,accept,composite_capped
Elko Federal Credit Union,Elko,NV,556486,ELKO FEDERAL CREDIT UNION,FCU,ELKO,NV,active,100.0,100.0,"state,city",strong,accept,composite_capped
Newfield National Bank,Newfield,NJ,632410,NEWFIELD NATIONAL BANK,NAT,NEWFIELD,NJ,active,100.0,100.0,"state,city",strong,accept,composite_capped
Parsons Federal Credit Union,pasadena,CA,977885,PARSONS FEDERAL CREDIT UNION,FCU,PASADENA,CA,closed,100.0,100.0,"state,city",strong,accept,composite_capped
The Valley State Bank,Syracuse,KS,1005552,"VALLEY STATE BANK, THE",NMB,BELLE PLAINE,KS,active,100.0,92.8,state,strong,accept,"city_mismatch,composite_capped"
Icici Bank New York Branch,New York,NY,601416,FIVE STAR BANK,SMB,ROCHESTER,NY,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
The Milford Bank,Milford,CT,258306,MILFORD BANK THE,SSB,MILFORD,CT,active,100.0,95.0,"state,city",strong,accept,composite_capped
Bank Sinopac Ltd.,Los Angeles,CA,1462986,ASIAN PACIFIC NATIONAL BANK,NAT,SAN GABRIEL,CA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Burling Bank,Chicago,IL,1404883,BURLING BANK,NMB,CHICAGO,IL,active,100.0,100.0,"state,city",strong,accept,composite_capped
