input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence
People's United Bank,Bridgeport,CT,407506,ION BANK,SMB,NAUGATUCK,CT,active,100.0,85.5,state,strong
MidFirst Bank,Oklahoma City,OK,595270,MIDFIRST BANK,FSB,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong
West Suburban Bank,Lombard,IL,1245705,"WEST SUBURBAN BANCORP, INC.",BHC,LOMBARD,IL,closed,100.0,87.4,"state,city",strong
Webster Bank,Stamford,CT,761806,"WEBSTER BANK, NATIONAL ASSOCIATION",NAT,STAMFORD,CT,active,100.0,90.0,"state,city",strong
First Minnesota Bank,Minnetonka,MN,197759,FIRST NATIONAL BANK MINNESOTA,NAT,SAINT PETER,MN,active,100.0,95.0,state,strong
United Federal Credit Union,Morgantown,WV,485184,"UNITED FEDERAL CREDIT UNION, THE",FCU,MORGANTOWN,WV,active,100.0,91.5,"state,city",strong
Century Bank,Phoenix,NM,83375,CENTURY BANK,NMB,SANTA FE,NM,active,100.0,100.0,state,strong
Investors Bank,Short Hills,NJ,35570,INVESTORS BANK,NMB,SHORT HILLS,NJ,closed,100.0,100.0,"state,city",strong
Idaho Central Credit Union,pocatello,ID,322793,IDAHO CENTRAL CREDIT UNION,SCU,CHUBBUCK,ID,active,100.0,100.0,state,strong
Kitsap Credit Union,Bremerton,WA,754693,KITSAP CREDIT UNION,SCU,BREMERTON,WA,active,100.0,100.0,"state,city",strong
Byline Bank,Chicago,IL,129732,BYLINE BANK,NMB,CHICAGO,IL,active,100.0,100.0,"state,city",strong
Pacific Premier Bank,Irvine,CA,100469,PREMIER BANK,NMB,NORTHRIDGE,CA,closed,100.0,90.0,"state,city",strong
Star Financial Bank,Fort Wayne,IN,547840,STAR FINANCIAL BANK,NMB,FORT WAYNE,IN,active,100.0,100.0,"state,city",strong
Trustco Bank,Glenville,UT,3212149,"UBS BANK USA, NATIONAL ASSOCIATION",NAT,SALT LAKE CITY,UT,active,100.0,85.5,state,strong
New York Community Bank,Westbury,NY,601416,FIVE STAR BANK,SMB,ROCHESTER,NY,active,100.0,85.5,"state,city",strong
Valley Bank,moline,VT,346007,VALLEY BANK,NMB,WHITE RIVER JUNCTION,VT,closed,100.0,100.0,"state,city",strong
Capital Community Bank,Provo,UT,2068107,CAPITAL COMMUNITY BANK,NMB,PROVO,UT,active,100.0,100.0,"state,city",strong
